product_id,description,category,main_category,subcategory_1,subcategory_2,subcategory_3,subcategory_4,subcategory_5
462,hp pavilion 11 n000nt pentium n3540 4gb 750gb 11 6 dokunmatik win8 k0w08ea detay bilgisi şletim sistemi windows 8i şlemci ailesi intel pentium işlemcii şlemci intel pentium n3540 intel hd graphics ile 2 16 ghz 2 mb önbellek 4 çekirdekli bellek 4gb 1600 mhz ddr3l sdramdahili sürücü 750 gb 5400 rpm sataekran 29 5 cm 11 6 inç diyagonal boyutlu hd led arkadan aydınlatmalı dokunmatik ekran 1366 768 grafik intel hd graphicsbağlantı noktaları1 hdmi1 usb 2 01 usb 3 01 rj 45ses özellikleri 2 hoparlörlü beats audio ağ arabirimitümleşik 10 100 base ethernet lankablosuz802 11b n 1x1 ve bluetooth 4 0 birleşimi miracast uyumlu güç kaynağı türü 45 ac güç adaptörüpil tipi 2 hücreli 29 wh prizmatikenerji verimliliğienergy star belgeliepeat silver,Bilgisayar > Taşınabilir Bilgisayarlar,Bilgisayar,Taşınabilir Bilgisayarlar,,,,
1300,özelli kler ekran ekran boyutu 48 ekran boyutu cm 121 1cm çözünürlük 1 920 1 080 ultra net panel no video resim motoru 3d hyperreal engine net hareket hızı 100 uhd dimming no hassas siyah yerel karartma no geniş renk yileştirici plus yes geniş renk dizisi a renk doğruluğu a otomatik derinlik geliştirici a film modu yes ses dolby ms10 ms110 dolby ms10 dts studio sound dnse dts studio sound dts premium sound dts premium sound 5 1 dts premium sound 5 1 3d ses yes otomatik ses dengeleyici yes ses özelleştirici no ses çıkışı rms 10w 2 hoparlör türü down firing full range woofer no hd audio no smart tv smart hub yes samsung smart tv yes on tv yes filmler ve diziler no multimedya yes uygulamalar yes oyun no spor yes çocuklar yes multi screen dual quad ekran no samsung tv de skype yes web tarayıcı yes smart interaction sesli etkileşim no ses kontrolü no dahili kamera no yüz tanıma ready hareket kontrolü ready cihaz etkileşimi çerik paylaşımı dlna yes screen mirroring yes samsung smart view yes akıllı giriş a kolay pin eşleştirme yes ayarlayıcı yayın çift hd uydu alıcı no ci ci 2ci ci 1 3 dtv ayarlayıcı dvb c s2 analog tuner yes mhp mheg hbbtv acap ginga ohtv a bağlantı hdmi 4 usb 3 bileşen girişi pb pr 1 kompozit girişi av 1 common use for component ethernet lan yes kulaklık a dijital ses çıkışı optik 1 rf in karasal kablolu giriş 1 1 common use for terrestrial 1 ex link rs 232c a ir out yes ci yuvası 1 scart 1 mhl ce 3 0 no tek bağlantı jak no wifi direct yes hdmi 1 4 3d otomatik ayar yes hdmi 1 4 return ch desteği yes instaport hdmi hızlı geçiş no kablosuz lan adaptör desteği no yerleşik kablosuz lan yes anynet hdmi cec yes tasarım tasarım wavy deco çerçeve tipi vnb ön renk black hafif efekt deco no stand türü quad döndürme sol sağ yes lave özellikler samsung 3d yes 3d dönüştürücü yes anında açılma no dört çekirdek no erişilebilirlik zoom otomatik kapanma yes saat ve açma kapama zamanlayıcısı yes uyku zamanlayıcısı yes bd wise plus yes altyazı yes kanal listesi usb clone yes connectshare usb 2 0 movie futbol modu advanced gömülü pop yes epg yes pvr hazır yes oyun modu yes multiroom speaker no ekran dili local languages resim çinde resim pip yes bt hid dahili yes usb hid desteği yes smart evolution desteği no tv soundconnect yes teleteks ttxt yes zaman atlama yes çevreci özellik eko algılayıcısı yes enerji verimliliği sınıfı cıva çeriği 0 0mg kurşun varlığı yes güç güç beslemesi ac220 240v 50 60hz güç tüketimi maks 130w güç tüketimi beklerken 0 30w güç tüketimi enerji tasarrufu modu 33 0w güç tüketimi iec 62087 sürüm 2 59 0w en üst parlaklık oranı 77 yıllık güç tüketimi ab standart kwh 82 0kwh boyutlar ambalaj boyutu gxyxd 1374 723 140 stantlı set gxyxd 1075 1 711 2 306 9 stantsız set gxyxd 1075 1 630 9 63 5 ağırlık paket ağırlığı 17 1kg set ağırlığı stand ile birlikte 12 9kg set ağırlığı stantsız 11 3kg aksesuarlar 3d etkin gözlük dahil no uzaktan kumanda modeli tm1250a piller uzaktan kumanda için yes samsung smart touch control dahil no ultra nce duvar montajı destekleniyor yes mini duvar montajı desteği yes vesa duvar montajı desteği yes yerde durma desteği yes televizyon kamerası dahil no ir uzatma kablosu dahil yes kablosuz klavye dahil no kablosuz lan adaptörü dahil no kullanıcı kılavuzu yes kılavuz yes güç kablosu yes nce kablo cinsi no,Ev Elektroniği > Televizyonlar > SAMSUNG,Ev Elektroniği,Televizyonlar,SAMSUNG,,,
1665,ürün kodu 40061255166 genel özellikler panel tipi led ekran boyutu 18 5 inch tepki süresi 5 bağlantı tipi analog çözünürlük 1366 768 renk siyah pivot yok yükseklik ayarı yok vesa uyumu var garanti süresi 24 ay,Bilgisayar > Bilgisayar Parçaları > Monitör > Led Monitörler > Philips,Bilgisayar,Bilgisayar Parçaları,Monitör,Led Monitörler,Philips,
2485,özellikler smartcontrol lite ile kolay ekran performansı ayarlama smartcontrol lite yeni nesil 3d simge tabanlı gui monitör kontrol yazılımıdır bu kullanıcıların renk parlaklık ekran kalibrasyonu multimedya kimlik yönetimi vb birçok monitör parametresinin hassas ayarlarının fare ile yapmasını sağlar zengin siyah ayrıntılar için smartcontrast smartcontrast görüntülediğiniz içeriği analiz eden en iyi dijital görüntüler ve videolar sunmanın yanı sıra koyu renk tonların görüntülendiği oyunları zenginleştirmek amacıyla kontrastı dinamik olarak geliştirmek için renkleri otomatik olarak ayarlayan ve arka aydınlatma yoğunluğunu kontrol eden bir philips teknolojisidir ekonomi modu seçildiğinde günlük ofis uygulamalarının en doğru şekilde görüntülenmesi ve daha düşük güç tüketimi için kontrast ayarlanır ve arka aydınlatmaya hassas ayar uygulanır cıva çermez çevre dostu ekran led arka aydınlatmalı philips monitörlerde insanlar ve hayvanlar için en tehlikeli doğal maddelerden biri olan cıva bulunmaz bu sayede üretiminden atılmasına kadar ürünün tüm kullanım ömrü boyunca çevre dostu olması sağlanır canlı renkler için led teknolojisi beyaz led ler tamamen yanarak tutarlı parlaklık veren ve daha hızlı çalışma süresi sunan dijital cihazlardır led ler cıva içermediğinden geri dönüşüm ve atık işlemleri çevreye zarar vermeden gerçekleştirilir led ler sayesinde lcd arka aydınlatması daha iyi kontrol edilir ve bunun sonucunda son derece yüksek mükemmel bir kontrast oranı elde edilir ayrıca ekranın her noktasında tutarlı parlaklık sayesinde doğal renkler sunar teknik özellikler marka philips model 18 5 193v5lsb2 62 led monitör 5ms siyah ekran büyüklüğü 18 5 inç 47 cm çözünürlük 60 hz de 1366 768 ekran tipi led sistemi arka aydınlatma 16 9 tft lcd tepki süresi 5 nokta aralığı çalışma frekansı parlaklık kontrast smartcontrast 10 000 000 1 kontrast oranı tipik 1000 1 görüş açısı max renk derinliği 16 7 bağlantı türü vga analog hoparlör yok kamera yok duvara monte güç tüketimi güç adaptörü dahili 100 240vac 50 60hz paket çeriği boyutlar diğer özellikler ağırlık sıfır pixel garantisi yok garanti süresi 24 ay,PC / Monitör > Monitör,PC / Monitör,Monitör,,,,
2495,genel özellikler seagate backup plus ile dijital yaşamınızı bilgisayarınızda ve bulutta kolayca ve otomatik olarak yedekleyin seagate backup plus taşınabilir disk bütün dijital yaşamlarını yerel olarak bulutta veya sosyal ağlarda saklamak isteyen tüketiciler için yedekleme işlemini basitleştirir metal tasarım diski cebinize cüzdanınıza veya evrak çantanıza koyup yanınızda götürmenizi sağlar seagate dashboard üzerinden tek tıklatmalı bir plan oluşturmak veya otomatik yerel yedeklemenizi ayarlamak için koru işlevini kullanın herhangi bir veri kaybı riskine karşı dosyalarınızın birden fazla kopyasını tutabilirsiniz kullanıcı tarafından oluşturulan içerik kaydet özelliği sayesinde en sevdiğiniz sosyal ağlarda yedeklenebilir artık birçok kişi akıllı telefonlarını paha biçilmez anlarını yakalamak için kullanıyor bu cihazların kullanımları kolaydır ancak depolama güçlü özelliklerinden biri değildir bir hatırayı yakalayın etiket olarak eklendiğiniz fotoğraflar da dahil bir sosyal ağ sitesinde yayınlayın ve seagate dashboard un yayınlanan tüm içeriği otomatik olarak yedeklemesini sağlayın dosya yanlışlıkla akıllı telefonunuzdan silinse bile başka bir kopyası bekleyebilir paylaş özelliği bilgisayarınızdan sosyal ağlara aynı anda birden fazla dosyanın yüklenmesine izin verir yeni bir albüm oluşturmadan dosyaları teker teker karşıya yükleme günleri artık geride kaldı doğrudan karşıya yüklemek istediğiniz dosyaları seçin onları yayınlamak istediğiniz yeri belirleyin ve hatta yorum ekleyin sosyal profilinizi yönetmek hiç bu kadar kolay olmamıştı mac için önceden yüklü ntfs sürücüsünü kurun ve diski yeniden biçimlendirmeden pc ile mac bilgisayarlar arasında değişmeli olarak kullanın teknik özellikler marka seagate model 2 5 1 tb backup plus usb 3 0 gümüş ürün kodu stdr1000201 disk tipi taşınabilir kapasite arabirim usb 3 0 dönüş hızı rpm veri transfer hızı 5 gb sn disk boyutu 2 5 inch arabellek media center yok firewire yok sata yok ethernet yok harici güç adaptör yok renk gümüş boyutlar uzunluk inç mm 4 47 113 50 genişlik inç mm 2 99 76 00 derinlik inç mm 0 48 12 1 sistem gereksinimleri windows 8 windows 7 windows vista windows xp sp3 32 bit ve 64 bit işletim sistemi veya mac os 10 6 ve üstü superspeed usb 3 0 bağlantı noktası usb 3 0 aktarım hızları veya usb 2 0 aktarım hızlarında usb 2 0 bağlantı noktaları ile geriye doğru uyum için gereklidir mac için yeniden biçimlendirilmesi gerekebilir uyumluluk kullanıcının donanım yapılandırmasına ve işletim sistemine bağlı olarak değişiklik gösterebilir kutu çeriği seagate backup plus diski 18 inçlik usb 3 0 kablosu seagate dashboard diskte önceden yüklüdür hızlı başlangıç kılavuzu mac için ntfs sürücüsü diskte önceden yüklüdür1 2 yıl sınırlı garanti ağırlık 140g garanti süresi 24 ay,Bilgisayar Ürünleri > Veri Depolama > Taşınabilir Disk,Bilgisayar,Veri Depolama,Taşınabilir Disk,,,
2580,ürün hakkında tefal gv8930 3 ayarlı pro express total auto control buhar jeneratörlü ütü 6 bar buhar basıncı 120 dk buhar gücü 310 dk şok buhar 3 ısı buhar ayarı 1 8l su tank kapasitesi çıkarılabilir su tankı sürekli dolum autoclean taban kordon saklama bölmesi kilit sistemi comfort,Küçük Ev Aletleri > ütü,Küçük Ev Aletleri,ütü,,,,
2838,sony xperia z2 cep telefonu özellikleri genel özellikler ağırlık 163 gram genişlik 73 3 mm yükseklik 146 8 mm kalınlık 8 2 mm şebeke frekansı gsm850 gsm900 gsm1800 gsm1900 bluetooth var sesle arama var ses kaydı var pil miktarı 3 200 mah bekleme süresi 740 saat konuşma süresi 19 saat 3g var wi fi var hsdpa var uçuş modu var bluetooth versiyon 4 0 low energy wi fi versiyonu 802 11 b n ac usb desteği var gps glonass var nfc var diğer genel özellikler ip55 ip58 su ve toza karşı dayanıklılık sertifikaları donanım özellikleri çipset qualcomm snapdragon 801 msm8974ab şlemci hızı ve türü 2 26 ghz krait 400 ram 3 gb lpddr3 ekran kartı 550 mhz adreno 330 şlemci sayısı dört sensörler vme ölçer yakınlık sensörü jiroskop ışık sensörü pusula ekran özellikleri renk sayısı 16777216 ekran boyutları 5 2 inç ekran çözünürlüğü 1080 1920 px dokunmatik ekran var ekstra ekran özellikleri live color led teknolojili triluminos ips lcd ekran 424 ppi piksel yoğunluğu 10 parmağa kadar çoklu dokunmatik çatlama ve çiziklere karşı dayanıklı cam reality engine bravia engine yazılımsal görüntü iyileştirme teknolojileri kapasitif ekran var çoklu dokunmatik var hafıza özellikleri telefon hafızası 16 gb harici hafıza yuvası var harici hafıza kartı tipi microsd maksimum hafıza kartı boyutu 128 gb kamera özellikleri çözünürlük 20 7 mp flaş var kinci kamera özellikleri 2 2 mp ekstra kamera özellikleri 1 2 3 inç arkadan aydınlatmalı sony exmor rs cmos kamera sensörü bionz görüntü işlemcisi 120fps hd yavaş çekim modu coğrafi etiketleme dokunarak otomatik odaklanma panorama hdr timeshift çekim modları video kayıt ultra hd 4k yazılım özellikleri senkronizasyon var şletim sistemi android şletim sistemi versiyonu android 4 4 kitkat tema desteği var kullanıcı arayüzü sony xperia ui çoklumedya özellikleri mp3 çalar var radyo çalar var dahili kamera var video çekebilme var video oynatabilme var ön kamera var görüntülü görüşme var eksta çoklumedya özellikleri mhl portu çift hoparlör miracast kablosuz ekran teknolojisi dlna var internet özellikleri html tarayıcı var edge var ekstra internet özellikleri dc hsdpa ile 42 mbps mobil veri indirme hsupa ile 5 76 mbps veri yükleme hızı anında mesajlaşma var wi fi hotspot var wi fi direct var,Cep Telefonu > Sony Ericsson,Cep Telefonu,Sony Ericsson,,,,
2842,samsung g850 fiyatı özellikleri ürün özelliklerigenel özelliklerii şlemci hızı quad core 1 8 ghzi şletim sistemi androidresimli telefon defteri varjava desteği vareller serbest konuşma handsfree varhesap makinesi varajanda varşebeke 850 900 1800 1900boyutlar 132 4 65 5 6 7 mmbelge görüntüleyici vargps navigasyon desteği varses kayıt vartitreşim varbağlantı özellikleribluetooth varedge vare mail desteği varpc senkronizasyonu varhsdpa 850 900 1900 2100wi fi var3g varekran özellikleridokunmatik ekran super amoledekran çözünürlüğü 720 1280 pixelsekran boyutu 4 7 ekran renk çözünürlüğü 16mkamera özellikleriön kamera varkamera çözünürlüğü 12 mpkamera zoom varsesli video kayıt varvideo oynatma varentegre flaş varhafıza özellikleritelefon hafızası 32 gb rom 2 gb ramarttırılabilir hafıza yokeğlencemp3 çalma vargüç özellikleripil türü li ionpil gücü 1860 mahsatış satış sonrasıgaranti süresi 2 yılkargo bedeli 7 90,Cep Telefonu > Samsung Fiyatları,Cep Telefonu,Samsung Fiyatları,,,,
4376,samsung galaxy alpha g850 beyaz açıklaması akıllı telefonunuzda metal şıklığıelegan ve şık stili ile samsung galaxy alpha g850 samsung un ilk yüksek kalite metal yüzey dizaynına sahip akıllı telefonu samsung galaxy alpha ile sofistike ve lüks tarzı yaşarken hissedeceksiniz yüksek kaliteli kamerasamsung galaxy alpha nın yüksek performanslı kamerası ile her anı en güzel haliyle yakalayacaksınız hdr modu ile her ortamda gerçek ışık ve renklerde görüntü almanızı sağlar ön kamerası ile en iyi selfie nizi çekmeye hazır olun güçlü performanssamsung galaxy alpha 8 çekirdekli güçlü işlemcisi ile oyunlar uygulamalar internet ve diğer uygulama alanlarında hızlı ve kusursuz bir deneyim sunacak biten şarjınız yüzünden hiçbir önemli aramayı kaçırmayacaksınız ultra güç koruma modu ile gereksiz uygulamaları kapatır bataryayı en verimli kullanmanız için yalnızca ihtiyacınız olan alanları açık tutarak size en verimli kullanımı sunar parmak zi ile güvenliğinizi koruyunsamsung galaxy alpha kulanırken koruma modu ile kişisel bilgilerini gizleyin ve basit bir parmak izi okuma ile yalnızca bu bilgilere siz giriş yapın teknik özellikler garanti 2 yıl garanti nd_tekn oz ic 1 kamera 12 mp kamera nd_tekn oz ic 1 ram kapasitesi 2 gb nd_tekn oz ic 1 ekran boyutu 4 7 dokunmatik ekran nd_tekn oz ic 1 bluetooth var nd_tekn oz ic 1 bluetooth var nd_tekn oz ic 1 telefon boyutları mm 132 4 65 5 6 7 mm nd_tekn oz ic 1 renk beyaz nd_tekn oz ic 1 ekran 4 7 dokunmatik ekran nd_tekn oz ic 1 dahili hafıza 32 gb dahili hafıza nd_tekn oz ic 1 şletim sistemi android os v4 4 4 kitkat nd_tekn oz ic 1 ağırlık 115 gr nd_tekn oz ic 1 fm radyo yok nd_tekn oz ic 1 ekran özellikleri 1280 720 nd_tekn oz ic 1 sms var nd_tekn oz ic 1 mms var nd_tekn oz ic 1 video oynatıcı var nd_tekn oz ic 1 mp3 var nd_tekn oz ic 1 3g var nd_tekn oz ic 1 pil türü 1860 mah nd_tekn oz ic 1 gprs var nd_tekn oz ic 1 kargo kargo ücretsiz kargo nd_tekn oz ic 1 ,Cep Telefonu > SAMSUNG,Cep Telefonu,SAMSUNG,,,,
4936,tefal gv8930 pro express buhar kazanlı ütü tefal gv8930 pro express 2400w 6 bar 310 gr dk turbo buhar 120gr dk sürekli buhar anti kireç sistemi 1 8lt su kapasitesi otomatik kapanma dikey ütüleme markatefalmodelgv8930 pro expresstaban tipiautocleanbuhar kazanıvargüç2400wkablosuz kullanımyokotomatik kapanmavargaranti24 ay,Küçük Ev Aletleri,Küçük Ev Aletleri,,,,,
