product_id,description,category
462,"HP Pavilion 11-n000nt Pentium N3540 4GB 750GB 11.6"" Dokunmatik Win8 - K0W08EA Detay Bilgisi İşletim sistemi : Windows 8İşlemci ailesi : Intel® Pentium® işlemciİşlemci : Intel® Pentium® N3540 Intel HD Graphics ile (2.16 GHz, 2 MB önbellek, 4 çekirdekli)Bellek: 4GB 1600 MHz DDR3L SDRAMDahili sürücü : 750 GB 5400 rpm SATAEkran : 29,5 cm (11,6 inç) diyagonal boyutlu HD LED arkadan aydınlatmalı dokunmatik ekran (1366 x 768)Grafik : Intel HD GraphicsBağlantı Noktaları1 HDMI1 USB 2.01 USB 3.01 RJ-45Ses özellikleri: 2 hoparlörlü Beats Audio™Ağ arabirimiTümleşik 10/100 BASE-T Ethernet LANKablosuz802.11b/g/n (1x1) ve Bluetooth® 4.0 birleşimi (Miracast uyumlu)Güç kaynağı türü: 45 W AC güç adaptörüPil tipi : 2 hücreli, 29 WH prizmatikEnerji verimliliğiENERGY STAR® belgeliEPEAT® Silver",Bilgisayar > Taşınabilir Bilgisayarlar
1300,"ÖZELLİKLER Ekran Ekran Boyutu 48"" Ekran Boyutu (cm) 121.1cm Çözünürlük 1,920 x 1,080 Ultra Net Panel No Video Resim Motoru 3D HyperReal Engine Net Hareket Hızı 100 UHD Dimming No Hassas Siyah (Yerel Karartma) No Geniş Renk İyileştirici (Plus) Yes Geniş Renk Dizisi N/A Renk Doğruluğu N/A Otomatik Derinlik Geliştirici N/A Film Modu Yes Ses Dolby MS10 / MS110 Dolby MS10 DTS Studio Sound / DNSe+ DTS Studio Sound DTS Premium Sound / DTS Premium Sound 5.1 DTS Premium Sound 5.1 3D Ses Yes Otomatik Ses Dengeleyici Yes Ses Özelleştirici No Ses Çıkışı (RMS) 10W x 2 Hoparlör Türü Down Firing + Full Range Woofer No HD Audio No Smart TV Smart Hub Yes Samsung SMART TV Yes On TV Yes Filmler ve Diziler No Multimedya Yes Uygulamalar Yes Oyun No Spor Yes Çocuklar Yes Multi-Screen (Dual / Quad Ekran) No Samsung TV'de Skype™ Yes Web Tarayıcı Yes Smart Interaction Sesli Etkileşim No Ses Kontrolü No Dahili Kamera No Yüz tanıma Ready Hareket kontrolü Ready Cihaz Etkileşimi İçerik Paylaşımı (DLNA) Yes Screen Mirroring Yes Samsung SMART View Yes Akıllı Giriş N/A Kolay Pin eşleştirme Yes Ayarlayıcı/Yayın Çift HD Uydu Alıcı No CI/CI+/2CI+ CI+ (1.3) DTV Ayarlayıcı DVB-T/C/S2 Analog Tuner Yes MHP / MHEG / HbbTV / ACAP / GINGA / OHTV N/A Bağlantı HDMI 4 USB 3 Bileşen Girişi (Y/Pb/Pr) 1 Kompozit Girişi (AV) 1 (Common Use for Component Y) Ethernet (LAN) Yes Kulaklık N/A Dijital Ses Çıkışı (Optik) 1 RF In (Karasal/Kablolu giriş) 1/1(Common Use for Terrestrial)/1 Ex-Link ( RS-232C ) N/A IR Out Yes CI Yuvası 1 Scart 1 MHL CE 3.0 No Tek Bağlantı (Jak) No WiFi Direct Yes HDMI 1.4 3D Otomatik Ayar Yes HDMI 1.4 A/Return Ch. Desteği Yes InstaPort S (HDMI hızlı geçiş) No Kablosuz LAN Adaptör Desteği No Yerleşik Kablosuz LAN Yes Anynet+ (HDMI-CEC) Yes Tasarım Tasarım Wavy Deco Çerçeve Tipi VNB Ön Renk Black Hafif Efekt (Deco) No Stand Türü Quad Döndürme (Sol/Sağ) Yes İlave Özellikler Samsung 3D Yes 3D Dönüştürücü Yes Anında Açılma No Dört Çekirdek+ No Erişilebilirlik Zoom Otomatik Kapanma Yes Saat ve Açma/Kapama Zamanlayıcısı Yes Uyku Zamanlayıcısı Yes BD Wise Plus Yes Altyazı Yes Kanal Listesi USB-Clone Yes ConnectShare™ (USB 2.0) Movie Futbol Modu Advanced Gömülü POP Yes EPG Yes PVR Hazır Yes Oyun Modu Yes Multiroom Speaker No Ekran Dili Local Languages Resim İçinde Resim (PIP) Yes BT HID Dahili Yes USB HID Desteği Yes Smart Evolution Desteği No TV SoundConnect Yes Teleteks (TTXT) Yes Zaman Atlama Yes Çevreci Özellik Eko Algılayıcısı Yes Enerji Verimliliği Sınıfı A+ Cıva İçeriği 0.0mg Kurşun Varlığı Yes Güç Güç Beslemesi AC220-240V 50/60Hz Güç Tüketimi (Maks.) 130W Güç Tüketimi (Beklerken) 0.30W Güç Tüketimi (Enerji Tasarrufu Modu) 33.0W Güç Tüketimi (IEC 62087 Sürüm 2) 59.0W En Üst Parlaklık Oranı 77 Yıllık Güç Tüketimi (AB standart, kWh) 82.0kWh Boyutlar Ambalaj Boyutu (GXYXD) 1374 x 723 x 140 Stantlı Set (GxYxD): 1075.1 x 711.2 x 306.9 Stantsız Set (GxYxD): 1075.1 x 630.9 x 63.5 Ağırlık Paket Ağırlığı 17.1kg Set Ağırlığı, Stand ile birlikte 12.9kg Set Ağırlığı, Stantsız 11.3kg Aksesuarlar 3D Etkin Gözlük (Dahil) No Uzaktan Kumanda Modeli TM1250A Piller (Uzaktan Kumanda için) Yes Samsung Smart Touch Control (Dahil) No Ultra İnce Duvar Montajı Destekleniyor Yes Mini Duvar Montajı Desteği Yes Vesa Duvar Montajı Desteği Yes Yerde Durma Desteği Yes Televizyon Kamerası (Dahil) No IR Uzatma Kablosu (Dahil) Yes Kablosuz Klavye (Dahil) No Kablosuz LAN Adaptörü (Dahil) No Kullanıcı Kılavuzu Yes E-Kılavuz Yes Güç Kablosu Yes İnce Kablo Cinsi No",Ev Elektroniği > Televizyonlar > SAMSUNG
1665,Ürün Kodu : 40061255166 Genel Özellikler Panel Tipi : LED Ekran Boyutu : 18.5 inch Tepki Süresi : 5 ms Bağlantı Tipi : Analog Çözünürlük : 1366 x 768 Renk : Siyah Pivot : Yok Yükseklik Ayarı : Yok Vesa Uyumu : Var Garanti Süresi : 24 Ay,Bilgisayar > Bilgisayar Parçaları > Monitör > Led Monitörler > Philips
2485,"Özellikler SmartControl Lite ile kolay ekran performansı ayarlama SmartControl Lite, yeni nesil 3D simge tabanlı GUI monitör kontrol yazılımıdır. Bu, kullanıcıların Renk, Parlaklık, ekran kalibrasyonu, Multimedya, Kimlik yönetimi vb. birçok monitör parametresinin hassas ayarlarının fare ile yapmasını sağlar. Zengin siyah ayrıntılar için SmartContrast SmartContrast, görüntülediğiniz içeriği analiz eden, en iyi dijital görüntüler ve videolar sunmanın yanı sıra koyu renk tonların görüntülendiği oyunları zenginleştirmek amacıyla kontrastı dinamik olarak geliştirmek için renkleri otomatik olarak ayarlayan ve arka aydınlatma yoğunluğunu kontrol eden bir Philips teknolojisidir. Ekonomi modu seçildiğinde, günlük ofis uygulamalarının en doğru şekilde görüntülenmesi ve daha düşük güç tüketimi için kontrast ayarlanır ve arka aydınlatmaya hassas ayar uygulanır. Cıva İçermez çevre dostu ekran LED arka aydınlatmalı Philips monitörlerde, insanlar ve hayvanlar için en tehlikeli doğal maddelerden biri olan cıva bulunmaz. Bu sayede, üretiminden atılmasına kadar, ürünün tüm kullanım ömrü boyunca çevre dostu olması sağlanır. Canlı renkler için LED teknolojisi Beyaz LED'ler, tamamen yanarak tutarlı parlaklık veren ve daha hızlı çalışma süresi sunan dijital cihazlardır. LED'ler cıva içermediğinden, geri dönüşüm ve atık işlemleri çevreye zarar vermeden gerçekleştirilir. LED'ler sayesinde LCD arka aydınlatması daha iyi kontrol edilir ve bunun sonucunda son derece yüksek, mükemmel bir kontrast oranı elde edilir. Ayrıca, ekranın her noktasında tutarlı parlaklık sayesinde doğal renkler sunar. Teknik Özellikler : Marka Philips Model 18,5"" 193V5LSB2-62 LED Monitör 5ms Siyah Ekran Büyüklüğü 18,5 inç / 47 cm Çözünürlük 60 Hz'de 1366 x 768 Ekran Tipi W-LED sistemi Arka aydınlatma 16:9 TFT-LCD Tepki Süresi 5 ms Nokta Aralığı Çalışma Frekansı Parlaklık Kontrast SmartContrast: 10.000.000:1 Kontrast oranı (tipik): 1000:1 Görüş Açısı Max. Renk Derinliği 16,7 M Bağlantı Türü VGA (Analog ) Hoparlör Yok Kamera Yok Duvara Monte Güç Tüketimi Güç Adaptörü Dahili, 100-240VAC, 50/60Hz Paket İçeriği Boyutlar Diğer Özellikler Ağırlık Sıfır Pixel Garantisi Yok Garanti Süresi 24 Ay",PC / Monitör > Monitör
2495,"Genel Özellikler : Seagate Backup Plus ile dijital yaşamınızı bilgisayarınızda ve bulutta kolayca ve otomatik olarak yedekleyin Seagate® Backup Plus taşınabilir disk, bütün dijital yaşamlarını yerel olarak, bulutta veya sosyal ağlarda saklamak isteyen tüketiciler için yedekleme işlemini basitleştirir. Metal tasarım, diski cebinize, cüzdanınıza veya evrak çantanıza koyup yanınızda götürmenizi sağlar. Seagate Dashboard üzerinden tek tıklatmalı bir plan oluşturmak veya otomatik yerel yedeklemenizi ayarlamak için Koru işlevini kullanın. Herhangi bir veri kaybı riskine karşı dosyalarınızın birden fazla kopyasını tutabilirsiniz. Kullanıcı tarafından oluşturulan içerik, Kaydet özelliği sayesinde en sevdiğiniz sosyal ağlarda yedeklenebilir. Artık birçok kişi akıllı telefonlarını, paha biçilmez anlarını yakalamak için kullanıyor. Bu cihazların kullanımları kolaydır, ancak depolama, güçlü özelliklerinden biri değildir. Bir hatırayı yakalayın, etiket olarak eklendiğiniz fotoğraflar da dahil, bir sosyal ağ sitesinde yayınlayın ve Seagate Dashboard’un yayınlanan tüm içeriği otomatik olarak yedeklemesini sağlayın. Dosya yanlışlıkla akıllı telefonunuzdan silinse bile, başka bir kopyası bekleyebilir. Paylaş özelliği, bilgisayarınızdan sosyal ağlara aynı anda birden fazla dosyanın yüklenmesine izin verir. Yeni bir albüm oluşturmadan dosyaları teker teker karşıya yükleme günleri artık geride kaldı! Doğrudan karşıya yüklemek istediğiniz dosyaları seçin, onları yayınlamak istediğiniz yeri belirleyin ve hatta yorum ekleyin. Sosyal profilinizi yönetmek hiç bu kadar kolay olmamıştı. Mac için önceden yüklü NTFS sürücüsünü kurun ve diski yeniden biçimlendirmeden, PC ile Mac® bilgisayarlar arasında değişmeli olarak kullanın. Teknik Özellikler : Marka Seagate Model 2.5"" 1 TB Backup Plus USB 3.0 Gümüş Ürün Kodu STDR1000201 Disk Tipi Taşınabilir Kapasite Arabirim USB 3.0 Dönüş Hızı (RPM) Veri Transfer Hızı 5 Gb/sn Disk Boyutu 2.5"" inch Arabellek Media Center Yok FireWire Yok E-Sata Yok Ethernet Yok Harici Güç Adaptör Yok Renk Gümüş Boyutlar Uzunluk (inç/mm) 4,47/113,50 Genişlik (inç/mm) 2,99/76,00 Derinlik (inç/mm) 0,48/12,1 Sistem Gereksinimleri Windows® 8, Windows 7, Windows Vista®, Windows XP SP3 (32 bit ve 64 bit) işletim sistemi veya Mac OS X 10.6 ve üstü* SuperSpeed USB 3.0 bağlantı noktası (USB 3.0 aktarım hızları veya USB 2.0 aktarım hızlarında USB 2.0 bağlantı noktaları ile geriye doğru uyum için gereklidir)** * Mac için yeniden biçimlendirilmesi gerekebilir. ** Uyumluluk, kullanıcının donanım yapılandırmasına ve işletim sistemine bağlı olarak değişiklik gösterebilir. Kutu İçeriği Seagate Backup Plus diski 18 inçlik USB 3.0 kablosu Seagate Dashboard, diskte önceden yüklüdür Hızlı başlangıç kılavuzu Mac için NTFS sürücüsü diskte önceden yüklüdür1 2 Yıl Sınırlı Garanti Ağırlık 140g Garanti Süresi 24 Ay",Bilgisayar Ürünleri > Veri Depolama > Taşınabilir Disk
2580,"Ürün Hakkında Tefal GV8930 3 Ayarlı Pro Express Total Auto Control Buhar Jeneratörlü Ütü. 6 bar Buhar Basıncı. 120 g/dk Buhar Gücü. 310 g/dk Şok Buhar. 3 ısı/buhar ayarı. 1,8L Su Tank Kapasitesi. Çıkarılabilir Su Tankı. Sürekli Dolum. Autoclean Taban. Kordon Saklama Bölmesi. Kilit Sistemi. Comfort",Küçük Ev Aletleri > ütü
2838,"Sony Xperia Z2 Cep Telefonu Özellikleri Genel Özellikler Ağırlık 163 gram Genişlik 73,3 mm Yükseklik 146,8 mm Kalınlık 8,2 mm Şebeke frekansı GSM850 - GSM900 - GSM1800 - GSM1900 Bluetooth Var Sesle arama Var Ses kaydı Var Pil Miktarı 3.200 mAh Bekleme süresi 740 saat Konuşma süresi 19 saat 3G Var Wi-Fi Var HSDPA Var Uçuş modu Var Bluetooth versiyon 4.0 + Low Energy Wi-Fi versiyonu 802.11 a/b/g/n/ac USB Desteği Var GPS/GLONASS Var NFC Var Diğer Genel Özellikler IP55 IP58 su ve toza karşı dayanıklılık sertifikaları Donanım Özellikleri Çipset Qualcomm Snapdragon 801 MSM8974AB İşlemci hızı ve türü 2,26 GHz Krait 400 RAM 3 GB LPDDR3 Ekran Kartı 550 MHz Adreno 330 İşlemci sayısı Dört Sensörler İvme ölçer, yakınlık sensörü, jiroskop, ışık sensörü, pusula Ekran Özellikleri Renk Sayısı 16777216 Ekran Boyutları 5,2 inç Ekran Çözünürlüğü 1080 x 1920 px Dokunmatik ekran Var Ekstra ekran özellikleri Live Color LED teknolojili TRILUMINOS IPS LCD ekran, 424 ppi piksel yoğunluğu, 10 parmağa kadar çoklu dokunmatik, Çatlama ve çiziklere karşı dayanıklı cam, X-Reality Engine, BRAVIA Engine yazılımsal görüntü iyileştirme teknolojileri Kapasitif Ekran Var Çoklu Dokunmatik Var Hafıza Özellikleri Telefon Hafızası 16 GB Harici Hafıza Yuvası Var Harici Hafıza Kartı Tipi microSD Maksimum Hafıza Kartı Boyutu 128 GB Kamera Özellikleri Çözünürlük 20,7 MP Flaş Var İkinci kamera özellikleri 2,2 MP Ekstra kamera özellikleri 1/2,3 inç arkadan aydınlatmalı Sony Exmor RS CMOS kamera sensörü, BIONZ görüntü işlemcisi, 120fps HD yavaş çekim modu, Coğrafi etiketleme, Dokunarak, otomatik odaklanma, Panorama, HDR, Timeshift çekim modları Video Kayıt Ultra HD 4K Yazılım Özellikleri Senkronizasyon Var İşletim sistemi Android İşletim Sistemi versiyonu Android 4.4 KitKat Tema desteği Var Kullanıcı Arayüzü Sony Xperia UI Çoklumedya Özellikleri MP3 çalar Var Radyo çalar Var Dahili kamera Var Video Çekebilme Var Video Oynatabilme Var Ön kamera Var Görüntülü görüşme Var Eksta çoklumedya özellikleri MHL portu, Çift hoparlör, Miracast kablosuz ekran teknolojisi DLNA Var Internet Özellikleri HTML tarayıcı Var EDGE Var Ekstra internet özellikleri DC-HSDPA ile 42 Mbps mobil veri indirme, HSUPA ile 5,76 Mbps veri yükleme hızı Anında mesajlaşma Var Wi-Fi Hotspot Var Wi-Fi Direct Var",Cep Telefonu > Sony Ericsson
2842,"Samsung G850 Fiyatı Özellikleri Ürün ÖzellikleriGenel Özellikleriİşlemci Hızı	Quad-core 1.8 GHzİşletim Sistemi	AndroidResimli Telefon Defteri	VarJava Desteği	VarEller Serbest Konuşma(Handsfree)	VarHesap Makinesi	VarAjanda	VarŞebeke	850 / 900 / 1800 / 1900Boyutlar	132.4 x 65.5 x 6.7 mmBelge Görüntüleyici	VarGPS-Navigasyon Desteği	VarSes Kayıt	VarTitreşim	VarBağlantı ÖzellikleriBluetooth	VarEDGE	VarE-mail Desteği	VarPC Senkronizasyonu	VarHSDPA	850 / 900 / 1900 / 2100Wi-Fi	Var3G	VarEkran ÖzellikleriDokunmatik Ekran	Super AMOLEDEkran Çözünürlüğü	720 x 1280 pixelsEkran Boyutu	4.7""Ekran Renk Çözünürlüğü	16MKamera ÖzellikleriÖn Kamera	VarKamera Çözünürlüğü	12 MpKamera Zoom	VarSesli Video Kayıt	VarVideo Oynatma	VarEntegre Flaş	VarHafıza ÖzellikleriTelefon Hafızası	32 GB ROM - 2 GB RAMArttırılabilir Hafıza	YokEğlenceMP3 Çalma	VarGüç ÖzellikleriPil Türü	Li-IonPil Gücü	1860 mAhSatış & Satış SonrasıGaranti Süresi	2 Yılkargo bedeli:7.90",Cep Telefonu > Samsung Fiyatları
4376,"Samsung Galaxy Alpha G850 Beyaz Açıklaması Akıllı Telefonunuzda Metal ŞıklığıElegan ve şık stili ile Samsung Galaxy Alpha G850. Samsung’un ilk yüksek kalite metal yüzey dizaynına sahip akıllı telefonu Samsung Galaxy Alpha ile sofistike ve lüks tarzı yaşarken hissedeceksiniz.Yüksek Kaliteli KameraSamsung galaxy Alpha’nın yüksek performanslı kamerası ile her anı en güzel haliyle yakalayacaksınız. HDR modu ile her ortamda gerçek ışık ve renklerde görüntü almanızı sağlar.Ön kamerası ile en iyi selfie nizi çekmeye hazır olun.Güçlü PerformansSamsung Galaxy Alpha, 8 çekirdekli güçlü işlemcisi ile oyunlar, uygulamalar, internet ve diğer uygulama alanlarında hızlı ve kusursuz bir deneyim sunacak. Biten şarjınız yüzünden hiçbir önemli aramayı kaçırmayacaksınız. Ultra Güç Koruma modu ile gereksiz uygulamaları kapatır, bataryayı en verimli kullanmanız için yalnızca ihtiyacınız olan alanları açık tutarak size en verimli kullanımı sunar.Parmak İzi ile Güvenliğinizi KoruyunSamsung Galaxy Alpha kulanırken koruma modu ile kişisel bilgilerini gizleyin ve basit bir parmak izi okuma ile yalnızca bu bilgilere siz giriş yapın. Teknik Özellikler GARANTİ 2 Yıl Garanti	<!--nd_tekn-oz-ic 1--> Kamera 12 MP Kamera	<!--nd_tekn-oz-ic 1--> RAM Kapasitesi 2 GB	<!--nd_tekn-oz-ic 1--> Ekran Boyutu 4.7'' Dokunmatik Ekran	<!--nd_tekn-oz-ic 1--> Bluetooth Var	<!--nd_tekn-oz-ic 1--> Bluetooth Var	<!--nd_tekn-oz-ic 1--> Telefon Boyutları (mm) 132,4 x 65,5 x 6,7 mm	<!--nd_tekn-oz-ic 1--> RENK Beyaz	<!--nd_tekn-oz-ic 1--> Ekran 4.7'' Dokunmatik Ekran	<!--nd_tekn-oz-ic 1--> Dahili Hafıza 32 GB Dahili Hafıza	<!--nd_tekn-oz-ic 1--> İşletim Sistemi Android OS v4.4.4 (KitKat)	<!--nd_tekn-oz-ic 1--> Ağırlık 115 gr	<!--nd_tekn-oz-ic 1--> FM Radyo Yok	<!--nd_tekn-oz-ic 1--> Ekran Özellikleri 1280 x 720 <!--nd_tekn-oz-ic 1--> Sms Var	<!--nd_tekn-oz-ic 1--> Mms Var	<!--nd_tekn-oz-ic 1--> Video Oynatıcı Var	<!--nd_tekn-oz-ic 1--> MP3 Var	<!--nd_tekn-oz-ic 1--> 3G Var	<!--nd_tekn-oz-ic 1--> Pil Türü 1860 mAh	<!--nd_tekn-oz-ic 1--> GPRS Var	<!--nd_tekn-oz-ic 1--> Kargo Kargo Ücretsiz Kargo <!--nd_tekn-oz-ic 1-->",Cep Telefonu > SAMSUNG
4936,"Tefal GV8930 Pro Express Buhar Kazanlı Ütü Tefal GV8930 Pro Express 2400W 6 Bar 310 gr/dk Turbo Buhar 120gr/dk sürekli buhar Anti-Kireç sistemi 1,8lt su kapasitesi Otomatik kapanma Dikey ütüleme MarkaTefalModelGV8930 Pro ExpressTaban TipiAutocleanBuhar KazanıVarGüç2400WKablosuz KullanımYokOtomatik KapanmaVarGaranti24 Ay",Küçük Ev Aletleri
